Type,"Policy area","Sub-policy area","Policy action",Country,Topics
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Germany

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.
",Germany,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Greece

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.
",Greece,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Guatemala

In Guatemala, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Guatemala,"Label, Nutrient claims"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Gulf Cooperation Council&nbsp;

In the Gulf Cooperation Council, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).
","Gulf Cooperation Council","Label, Nutrient claims"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Honduras

In Honduras, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Honduras,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Hong Kong

In Hong Kong, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Hong Kong",Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Hungary

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Hungary,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Iceland&nbsp;

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The EU Regulation applies in Iceland as part of its membership on the European Economic Area.
",Iceland,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists – India

In India, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",India,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists&nbsp;–&nbsp;Indonesia

In Indonesia, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).Most other countries follow Guideline CAC/GL 2-1985 from the Codex Alimentarius Commission in requiring nutrition labels only when a nutrition or health claim is made and/or on food with special dietary uses.
",Indonesia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Ireland&nbsp;




EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.

&nbsp;




&nbsp;
",Ireland,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Israel&nbsp;

In Israel, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Israel,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Mandatory nutrient declaration

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. In Italy, the agency responsible with the enforcement of these regulations it the Directorate General for Hygiene and Safety of Food and Nutrition (DGISAN).

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts.
",Italy,"Fat, Label, Salt"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Italy

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Italy,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Japan

In Japan, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Japan,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Food labeling of non-packaged foods

These regulations describe the requirement for the provision of information on non-prepacked food. Unless otherwise provided in other regulatory enactments on the circulation of food, a nutrition declaration may be indicated as energy value and amount of fat, saturated fatty acids and sugar and salt.
",Latvia,"Fat, Front-of-pack, Salt, Sugar"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Latvia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Latvia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Liechtenstein

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp; The EU Regulation applies in Liechtenstein as part of its membership on the European Economic Area.
",Liechtenstein,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists &nbsp;—&nbsp;&nbsp;Lithuania

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.
",Lithuania,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrients content lists –&nbsp;Luxembourg

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.
",Luxembourg,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","The Malaysian Guide to Nutrition Labelling and Claims

In Malaysia, a nutrient list detailing energy, protein, carbohydrates and fat per 100g/100ml and per serving must be provided on select categories of packaged food, including bread, confectionery, dairy products, canned food, fruit juices, salad dressings and mayonnaise; ready-to-drink beverages must also include total sugars. A nutrient list is also mandatory for any product bearing a nutrition claim, products with added vitamins and minerals, and special purpose food&nbsp;for infants and young children. Details are provided in the Malaysian Guide to Nutrition Labelling and Claims (2010), which reflects labelling legislation from 2003 (as incorporated into the Food Act of 1983 and Food Regulations of 1985) and subsequent amendments.
",Malaysia,"Children, Label"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content&nbsp;lists –&nbsp;Malta

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Malta,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Mexico

In Mexico, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Mexico,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrients content lists –&nbsp;Netherlands

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;In the Netherlands, the regulation&nbsp;has been translated into the Commodities Act Decree on Food Information (WIL).

The Dutch Food and Consumer Product Safety Authority (NVWA) supervises the implementation of&nbsp;mandatory nutrient declarations on pre-packaged products.&nbsp;The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
",Netherlands,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;New Zealand

In New Zealand, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","New Zealand",Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Nicaragua

In Nicaragua, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Nicaragua,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Norway

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp; The EU Regulation applies in Norway as part of its membership on the European Economic Area.

In Norway, the Food Information Regulations outline how this regulation is applied. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. The label must be easily legible and clearly visible, and the text must be in Norwegian or a similar language. Exceptions to these rules include, among other foods: fruits, berries, vegetables, meats, fish, eggs and nuts that are unprocessed; water with or without carbonic acid; spices or spice mixtures as well as salt; coffee and tea; foods in small packages (less than 25 cm2); alcoholic beverages containing more than 1.2% by volume of alcohol.

The manufacturer can also disclose the content of some other substances, including vitamins, minerals and dietary fibre. Nutrients that are voluntary to declare:

- monounsaturated fat, polyunsaturated fat, polyols, starches or dietary fibre;

- vitamins and minerals, provided they are present in ""substantial amounts"", i.e., 15% of the reference value for foods, and 7.5% of the reference value for drinks;

- nutrients other than those listed above (e.g., omega-3 fatty acids) cannot be stated in the nutrition declaration itself, but can be stated, preferably in the vicinity of the nutritional declaration.

Supplemental information, that apply to both packaged and unpackaged foods, include: allergen information and the designation and country of origin for fresh fruit and vegetables. In some cases, varieties must also be given. Further, radiation and genetic modification information must be given for all products.

&nbsp;
",Norway,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Paraguay

In Paraguay, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Paraguay,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Philipines&nbsp;

In the Philippines, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
",Philippines,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU&nbsp;nutrient content lists –&nbsp;Poland

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars and protein. The content of energy and the amount of nutrients is given per 100 g or 100 ml.
",Poland,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists – Portugal

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars and protein. The content of energy and the amount of nutrients is given per 100 g or 100 ml.

The&nbsp;Agency responsible with implementing this regulatuin&nbsp;in Portugal is the Economic and Food Safety Authority.
",Portugal,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Romania

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
",Romania,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Russia

In Russia, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).
",Russia,"Label, Nutrient claims"
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content&nbsp;lists –&nbsp;Slovakia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Slovakia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Mandatory nutrient declaration

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. 

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.
",Slovenia,Label
Nourishing,"Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Slovenia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
",Slovenia,Label
