"","Type","Policy.area","Sub.policy.area","Policy.action","Topics","type","status","national","ISO3","M49_code","country"
"11","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient&nbsp;content lists –&nbsp;Croatia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","HRV",191,"Croatia"
"12","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Cyprus

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Nutrient claims","regulatory","mandatory","national","CYP",196,"Cyprus"
"13","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Czech Republic

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Nutrient claims","regulatory","mandatory","national","CZE",203,"Czechia"
"14","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Denmark

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food.&nbsp;In Denmark, the regulation’s implementation is under the remit of the Danish Veterinary and Food Administration (DVFA).

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients shall be given per 100 g or 100 ml of the food as sold. In addition to the six&nbsp;mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
","Label","regulatory","mandatory","national","DNK",208,"Denmark"
"15","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Ecuador

In Ecuador, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","ECU",218,"Ecuador"
"16","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;El Salvador

In El Salvador, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","SLV",222,"El Salvador"
"17","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Estonia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","EST",233,"Estonia"
"18","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Heart label system&nbsp;

The Heart Sign Meal is a menu labelling scheme for healthy restaurant food. This scheme makes it easier for the diner to assemble a healthy meal and for the food maker to prepare healthy food. The subscriber of the food service, on the other hand, can use the Heart Sign to determine the best possible offer for its diners in the invitation to tender. The use of the heart badge in restaurants began in 2008.&nbsp;A heart sign is a sign found on food packaging and in restaurants that indicates that the product or food portion in question is a better option for health. The heart badge has been developed to make everyday life easier and faster. By choosing Heart Label products, you make small, health-friendly changes to your diet without having to read product descriptions or nutritional content.

A heart symbol system was introduced in 2000 by the Finnish Heart Foundation and the Finnish Diabetes Foundation. The heart symbol indicates that a product is a better choice regarding sodium and salt content compared with another product in the same food category. The heart symbol system is acknowledged by the Finnish national authorities, and the National Nutrition Council recommends consumers to use products bearing the heart symbol.

If the salt content exceeds the permitted salt content limit for certain foods important for salt intake, it must be indicated on the packaging by the words “high salt” or “high in salt”. The labelling of high salinity is determined by the amount of total salt in the food (both added and natural). The amount of sodium is converted to salt by multiplying it by 2.5 (for example, 400 mg of sodium = 1000 mg, ie 1 g of salt)
","Front-of-pack, Salt","regulatory","mandatory","national","FIN",246,"Finland"
"19","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Finland

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","FIN",246,"Finland"
"20","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutri–Score- France

On 26 January 2016, the French Ministry of Health introduced Article 5 of the Health Act that recommended introducing a system of nutrition labelling. The Directorate-General for Health requested Public Health France to design the nutrition labelling and the decision to recommend the NutriScore system was informed by research that trialled four different types of nutrition labels in 80 supermarkets in September 2016. The NutriScore system was chosen as the most consumer-friendly. The NutriScore label uses a nutrient-profiling system, based on the UK Food Standards Agency model. It classifies food and drinks according to five categories of nutritional quality, indicated via a colour scale ranging from dark green to dark red. Each colour is also associated with a letter from A (dark green) to E (dark red) to make the labelling more accessible and understandable to consumers. The score takes into account for every 100 grams of produce whether the contents of the product include nutrients and food that should be favoured (positive nutrients including fibre, protein, fruit and vegetables) or nutrients that should be limited (negative nutrients including energy, saturated fatty acids, sugars, salt). The amount of nutrients per 100 grams contained in the product is scored using a points system (0–40 for negative nutrients and 0–15 for positive nutrients that should be favoured). The nutritional score of the product is calculated by subtracting the negative nutrient points from the positive nutrient points. All processed food is included, except aromatic herbs, teas, coffees and yeasts, and all beverages, except alcoholic beverages. The European Commission approved the use of the NutriScore label and on 31 October 2017 the French government signed a decree outlining that the NutriScore label would be used in France. The label is voluntary. The fourth National Health Nutrition Program plans to extend the use of the Nutri-Score to out-of-home catering and unpacked foods in the future.""
","Front-of-pack","regulatory","mandatory","national","FRA",250,"France"
"21","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;France

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","FRA",250,"France"
"22","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Germany

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.
","Label","regulatory","mandatory","national","DEU",276,"Germany"
"23","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Greece

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.
","Label","regulatory","mandatory","national","GRC",300,"Greece"
"24","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Guatemala

In Guatemala, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label, Nutrient claims","regulatory","mandatory","national","GTM",320,"Guatemala"
"25","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Honduras

In Honduras, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","HND",340,"Honduras"
"26","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Hong Kong

In Hong Kong, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","HKG",344,"Hong Kong"
"27","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Hungary

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","HUN",348,"Hungary"
"28","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Iceland&nbsp;

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The EU Regulation applies in Iceland as part of its membership on the European Economic Area.
","Label","regulatory","mandatory","national","ISL",352,"Iceland"
"29","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists – India

In India, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","IND",356,"India"
"30","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists&nbsp;–&nbsp;Indonesia

In Indonesia, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).Most other countries follow Guideline CAC/GL 2-1985 from the Codex Alimentarius Commission in requiring nutrition labels only when a nutrition or health claim is made and/or on food with special dietary uses.
","Label","regulatory","mandatory","national","IDN",360,"Indonesia"
"31","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Ireland&nbsp;




EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.

&nbsp;




&nbsp;
","Label","regulatory","mandatory","national","IRL",372,"Ireland"
"32","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Israel&nbsp;

In Israel, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","ISR",376,"Israel"
"33","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Mandatory nutrient declaration

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. In Italy, the agency responsible with the enforcement of these regulations it the Directorate General for Hygiene and Safety of Food and Nutrition (DGISAN).

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts.
","Fat, Label, Salt","regulatory","mandatory","national","ITA",380,"Italy"
"34","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Italy

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","ITA",380,"Italy"
"35","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Japan

In Japan, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","JPN",392,"Japan"
"36","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Food labeling of non-packaged foods

These regulations describe the requirement for the provision of information on non-prepacked food. Unless otherwise provided in other regulatory enactments on the circulation of food, a nutrition declaration may be indicated as energy value and amount of fat, saturated fatty acids and sugar and salt.
","Fat, Front-of-pack, Salt, Sugar","regulatory","mandatory","national","LVA",428,"Latvia"
"37","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Latvia

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","LVA",428,"Latvia"
"38","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Liechtenstein

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp; The EU Regulation applies in Liechtenstein as part of its membership on the European Economic Area.
","Label","regulatory","mandatory","national","LIE",438,"Liechtenstein"
"39","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists &nbsp;—&nbsp;&nbsp;Lithuania

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this law.
","Label","regulatory","mandatory","national","LTU",440,"Lithuania"
"40","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrients content lists –&nbsp;Luxembourg

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.
","Label","regulatory","mandatory","national","LUX",442,"Luxembourg"
"41","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","The Malaysian Guide to Nutrition Labelling and Claims

In Malaysia, a nutrient list detailing energy, protein, carbohydrates and fat per 100g/100ml and per serving must be provided on select categories of packaged food, including bread, confectionery, dairy products, canned food, fruit juices, salad dressings and mayonnaise; ready-to-drink beverages must also include total sugars. A nutrient list is also mandatory for any product bearing a nutrition claim, products with added vitamins and minerals, and special purpose food&nbsp;for infants and young children. Details are provided in the Malaysian Guide to Nutrition Labelling and Claims (2010), which reflects labelling legislation from 2003 (as incorporated into the Food Act of 1983 and Food Regulations of 1985) and subsequent amendments.
","Children, Label","regulatory","mandatory","national","MYS",458,"Malaysia"
"42","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content&nbsp;lists –&nbsp;Malta

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;
","Label","regulatory","mandatory","national","MLT",470,"Malta"
"43","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Mexico

In Mexico, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","MEX",484,"Mexico"
"44","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrients content lists –&nbsp;Netherlands

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;In the Netherlands, the regulation&nbsp;has been translated into the Commodities Act Decree on Food Information (WIL).

The Dutch Food and Consumer Product Safety Authority (NVWA) supervises the implementation of&nbsp;mandatory nutrient declarations on pre-packaged products.&nbsp;The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
","Label","regulatory","mandatory","national","NLD",528,"Netherlands"
"45","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;New Zealand

In New Zealand, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","NZL",554,"New Zealand"
"46","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Nicaragua

In Nicaragua, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","NIC",558,"Nicaragua"
"47","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Norway

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp; The EU Regulation applies in Norway as part of its membership on the European Economic Area.

In Norway, the Food Information Regulations outline how this regulation is applied. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. The label must be easily legible and clearly visible, and the text must be in Norwegian or a similar language. Exceptions to these rules include, among other foods: fruits, berries, vegetables, meats, fish, eggs and nuts that are unprocessed; water with or without carbonic acid; spices or spice mixtures as well as salt; coffee and tea; foods in small packages (less than 25 cm2); alcoholic beverages containing more than 1.2% by volume of alcohol.

The manufacturer can also disclose the content of some other substances, including vitamins, minerals and dietary fibre. Nutrients that are voluntary to declare:

- monounsaturated fat, polyunsaturated fat, polyols, starches or dietary fibre;

- vitamins and minerals, provided they are present in ""substantial amounts"", i.e., 15% of the reference value for foods, and 7.5% of the reference value for drinks;

- nutrients other than those listed above (e.g., omega-3 fatty acids) cannot be stated in the nutrition declaration itself, but can be stated, preferably in the vicinity of the nutritional declaration.

Supplemental information, that apply to both packaged and unpackaged foods, include: allergen information and the designation and country of origin for fresh fruit and vegetables. In some cases, varieties must also be given. Further, radiation and genetic modification information must be given for all products.

&nbsp;
","Label","regulatory","mandatory","national","NOR",578,"Norway"
"48","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Paraguay

In Paraguay, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","PRY",600,"Paraguay"
"49","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","Nutrient content lists –&nbsp;Philipines&nbsp;

In the Philippines, producers and retailers are required by law to provide a list of the nutrient content of pre-packaged food products (with limited exceptions), even in the absence of a nutrition or health claim. The rules define which nutrients must be listed and on what basis (eg per 100g/per serving).&nbsp;
","Label","regulatory","mandatory","national","PHL",608,"Philippines"
"50","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU&nbsp;nutrient content lists –&nbsp;Poland

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;

The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars and protein. The content of energy and the amount of nutrients is given per 100 g or 100 ml.
","Label","regulatory","mandatory","national","POL",616,"Poland"
"51","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists – Portugal

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016.&nbsp;The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fatty acids, carbohydrates, sugars and protein. The content of energy and the amount of nutrients is given per 100 g or 100 ml.

The&nbsp;Agency responsible with implementing this regulatuin&nbsp;in Portugal is the Economic and Food Safety Authority.
","Label","regulatory","mandatory","national","PRT",620,"Portugal"
"52","Nourishing","Nutrition label standards and regulations on the use of claims and implied claims on food","Mandatory nutrient lists on packaged food*","EU nutrient content lists –&nbsp;Romania

EU Regulation 1169/2011 on the Provision of Food Information to Consumers, passed in 2011, requires a list of the nutrient content of most pre-packaged food to be provided on the back of the pack from 13 December 2016. The mandatory nutrition declaration provides information on the contents of: energy, fat, saturated fat, carbohydrates, sugars, protein and salt. The content of energy and the amount of nutrients is given per 100 g or 100 ml. In addition to the 6 mandatory nutrients, the following nutrients may also be listed: monounsaturated fat, polyunsaturated fat, polyols, starch and fibre. Minerals and vitamins may also be mentioned if they are present in significant amounts. Online sales are also covered by this regulation.
","Label","regulatory","mandatory","national","ROU",642,"Romania"
